time,room,h_interface,T_upper,T_lower
180,1F_Room1,2.858208208261992,312.9166314710893,292.6426248200923
181,1F_Room1,2.8582102355598815,312.9166314710861,292.64262482007837
182,1F_Room1,2.858212262857804,312.91663147108284,292.6426248200646
183,1F_Room1,2.858214290155758,312.91663147107965,292.642624820051
184,1F_Room1,2.858216317453744,312.9166314710764,292.6426248200376
185,1F_Room1,2.858218344751761,312.9166314710731,292.64262482002437
186,1F_Room1,2.8582203720498076,312.9166314710698,292.64262482001124
187,1F_Room1,2.858222399347885,312.9166314710665,292.6426248199983
188,1F_Room1,2.8582244266459913,312.9166314710632,292.64262481998543
189,1F_Room1,2.858226453944127,312.9166314710599,292.64262481997275
190,1F_Room1,2.858228481242291,312.91663147105646,292.6426248199602
191,1F_Room1,2.858230508540482,312.9166314710531,292.6426248199478
192,1F_Room1,2.8582325358387015,312.9166314710497,292.6426248199355
193,1F_Room1,2.8582345631369472,312.9166314710463,292.6426248199234
194,1F_Room1,2.8582365904352196,312.9166314710429,292.6426248199114
195,1F_Room1,2.858238617733518,312.9166314710395,292.64262481989954
196,1F_Room1,2.8582406450318425,312.9166314710361,292.6426248198878
197,1F_Room1,2.858242672330192,312.9166314710327,292.64262481987623
198,1F_Room1,2.8582446996285666,312.91663147102923,292.64262481986475
199,1F_Room1,2.8582467269269656,312.91663147102577,292.6426248198534
200,1F_Room1,2.8582487542253885,312.91663147102236,292.6426248198421
201,1F_Room1,2.8582507815238354,312.9166314710189,292.642624819831
202,1F_Room1,2.858252808822306,312.9166314710154,292.64262481981996
203,1F_Room1,2.858254836120799,312.91663147101195,292.64262481980904
204,1F_Room1,2.8582568634193146,312.9166314710085,292.64262481979824
205,1F_Room1,2.858258890717853,312.916631471005,292.64262481978756
206,1F_Room1,2.8582609180164127,312.91663147100155,292.642624819777
207,1F_Room1,2.8582629453149946,312.916631470998,292.6426248197665
208,1F_Room1,2.8582649726135974,312.91663147099456,292.6426248197562
209,1F_Room1,2.8582669999122214,312.9166314709911,292.64262481974595
210,1F_Room1,2.8582690272108655,312.9166314709876,292.64262481973583
211,1F_Room1,2.85827105450953,312.9166314709842,292.6426248197258
212,1F_Room1,2.8582730818082145,312.9166314709808,292.6426248197159
213,1F_Room1,2.858275109106919,312.91663147097734,292.64262481970604
214,1F_Room1,2.8582771364056425,312.91663147097387,292.6426248196963
215,1F_Room1,2.8582791637043856,312.91663147097046,292.64262481968666
216,1F_Room1,2.858281191003147,312.916631470967,292.6426248196771
217,1F_Room1,2.8582832183019273,312.9166314709636,292.6426248196677
218,1F_Room1,2.858285245600726,312.91663147096017,292.6426248196583
219,1F_Room1,2.8582872728995428,312.91663147095676,292.64262481964903
220,1F_Room1,2.8582893001983773,312.9166314709533,292.6426248196399
221,1F_Room1,2.858291327497229,312.9166314709499,292.6426248196308
222,1F_Room1,2.858293354796098,312.91663147094647,292.6426248196218
223,1F_Room1,2.8582953820949846,312.91663147094306,292.6426248196129
224,1F_Room1,2.858297409393887,312.9166314709397,292.64262481960407
225,1F_Room1,2.8582994366928065,312.9166314709363,292.6426248195953
226,1F_Room1,2.8583014639917423,312.91663147093294,292.6426248195866
227,1F_Room1,2.858303491290694,312.91663147092953,292.64262481957803
228,1F_Room1,2.858305518589662,312.9166314709262,292.6426248195695
229,1F_Room1,2.8583075458886453,312.9166314709228,292.6426248195611
230,1F_Room1,2.8583095731876447,312.91663147091947,292.64262481955274
231,1F_Room1,2.8583116004866587,312.9166314709162,292.64262481954444
232,1F_Room1,2.858313627785688,312.9166314709128,292.64262481953625
233,1F_Room1,2.858315655084732,312.91663147090946,292.6426248195281
234,1F_Room1,2.858317682383791,312.91663147090617,292.64262481952005
235,1F_Room1,2.858319709682864,312.91663147090287,292.64262481951204
236,1F_Room1,2.8583217369819507,312.9166314708995,292.64262481950414
237,1F_Room1,2.858323764281052,312.9166314708963,292.6426248194963
238,1F_Room1,2.858325791580167,312.916631470893,292.6426248194885
239,1F_Room1,2.858327818879296,312.9166314708897,292.6426248194808
240,1F_Room1,2.858329846178438,312.91663147088644,292.64262481947316
241,1F_Room1,2.858331873477594,312.9166314708832,292.6426248194656
242,1F_Room1,2.8583339007767625,312.91663147087996,292.6426248194581
243,1F_Room1,2.8583359280759444,312.9166314708767,292.64262481945065
244,1F_Room1,2.858337955375139,312.9166314708735,292.64262481944326
245,1F_Room1,2.858339982674346,312.91663147087024,292.6426248194359
246,1F_Room1,2.858342009973566,312.91663147086706,292.64262481942865
247,1F_Room1,2.858344037272798,312.9166314708638,292.6426248194214
248,1F_Room1,2.8583460645720415,312.91663147086064,292.6426248194143
249,1F_Room1,2.858348091871298,312.91663147085745,292.6426248194073
250,1F_Room1,2.8583501191705656,312.9166314708543,292.6426248194003
251,1F_Room1,2.858352146469845,312.9166314708512,292.64262481939335
252,1F_Room1,2.8583541737691363,312.9166314708481,292.64262481938647
253,1F_Room1,2.858356201068439,312.91663147084495,292.64262481937965
254,1F_Room1,2.8583582283677527,312.9166314708418,292.6426248193729
255,1F_Room1,2.8583602556670775,312.91663147083875,292.6426248193662
256,1F_Room1,2.858362282966413,312.9166314708357,292.6426248193595
257,1F_Room1,2.85836431026576,312.9166314708326,292.64262481935293
258,1F_Room1,2.8583663375651174,312.9166314708296,292.6426248193464
259,1F_Room1,2.8583683648644853,312.91663147082653,292.64262481933986
260,1F_Room1,2.8583703921638643,312.91663147082346,292.6426248193334
261,1F_Room1,2.8583724194632536,312.91663147082045,292.64262481932695
262,1F_Room1,2.858374446762653,312.9166314708174,292.6426248193206
263,1F_Room1,2.8583764740620627,312.91663147081437,292.6426248193143
264,1F_Room1,2.8583785013614826,312.91663147081135,292.642624819308
265,1F_Room1,2.858380528660912,312.91663147080834,292.64262481930183
266,1F_Room1,2.8583825559603513,312.9166314708053,292.6426248192957
267,1F_Room1,2.8583845832597996,312.9166314708024,292.6426248192896
268,1F_Room1,2.8583866105592577,312.9166314707994,292.6426248192835
269,1F_Room1,2.858388637858725,312.91663147079646,292.6426248192775
270,1F_Room1,2.8583906651582023,312.9166314707935,292.64262481927153
271,1F_Room1,2.8583926924576883,312.91663147079055,292.6426248192656
272,1F_Room1,2.8583947197571833,312.91663147078765,292.64262481925977
273,1F_Room1,2.858396747056687,312.91663147078475,292.6426248192539
274,1F_Room1,2.8583987743562003,312.91663147078185,292.6426248192481
275,1F_Room1,2.858400801655722,312.91663147077895,292.64262481924237
276,1F_Room1,2.8584028289552523,312.91663147077605,292.6426248192367
277,1F_Room1,2.8584048562547917,312.9166314707732,292.64262481923106
278,1F_Room1,2.858406883554339,312.91663147077037,292.64262481922543
279,1F_Room1,2.8584089108538953,312.9166314707675,292.64262481921986
280,1F_Room1,2.8584109381534595,312.9166314707647,292.64262481921435
281,1F_Room1,2.8584129654530317,312.91663147076184,292.64262481920883
282,1F_Room1,2.8584149927526123,312.91663147075906,292.6426248192034
283,1F_Room1,2.858417020052201,312.9166314707563,292.642624819198
284,1F_Room1,2.858419047351797,312.91663147075343,292.64262481919263
285,1F_Room1,2.858421074651402,312.9166314707507,292.6426248191873
286,1F_Room1,2.8584231019510136,312.916631470748,292.642624819182
287,1F_Room1,2.8584251292506337,312.91663147074524,292.6426248191768
288,1F_Room1,2.8584271565502615,312.91663147074246,292.64262481917154
289,1F_Room1,2.858429183849896,312.91663147073973,292.6426248191664
290,1F_Room1,2.8584312111495382,312.916631470737,292.64262481916126
291,1F_Room1,2.8584332384491877,312.91663147073433,292.64262481915614
292,1F_Room1,2.8584352657488448,312.91663147073166,292.6426248191511
293,1F_Room1,2.8584372930485094,312.91663147072893,292.6426248191461
294,1F_Room1,2.8584393203481806,312.9166314707263,292.6426248191411
295,1F_Room1,2.858441347647859,312.91663147072364,292.64262481913613
296,1F_Room1,2.858443374947544,312.916631470721,292.6426248191312
297,1F_Room1,2.8584454022472365,312.91663147071836,292.6426248191263
298,1F_Room1,2.8584474295469358,312.9166314707157,292.64262481912147
299,1F_Room1,2.8584494568466416,312.91663147071307,292.64262481911663
0,1F_Room2,3.0,306.902661532987,293.05590527349113
1,1F_Room2,3.0,309.774871115524,293.20971249680287
2,1F_Room2,3.0,311.21375115501735,293.40855236440467
3,1F_Room2,3.0,311.9648906927271,293.627408641745
4,1F_Room2,3.0,312.3681539442269,293.8533337011819
5,1F_Room2,3.0,312.58961996003796,294.07974110223563
6,1F_Room2,3.0,312.71415943678204,294.30332416360017
7,1F_Room2,3.0,312.7860574496746,294.52247503053445
8,1F_Room2,3.0,312.82876612532914,294.73646496224296
